start	end	text
1000	7600	哎呀 尊敬的戰友們好 現在的1月5號戰友們
7600	13400	真快呀 明天的1月6號了 哇塞 這真夠亂的
13400	19000	這個北京 咱們很多戰友突然間從昨天找不著了
19000	23800	後來我發現咋回事啊 咱們有些戰友手機不能聯繫
23800	26600	北京出現了緊急情況
26800	32800	昨天大批的軍隊 秘密的喬裝打叛進入北京
32800	38400	從南部 西部 東南角 東北角 北部 西北角
38400	44000	七個角 七個部分 大量的軍隊喬裝進入北京
44000	47400	發生啥事了 咋回事啊
47400	50600	然後我今天 大家要看到啊
50600	55200	美國 東西部 南北部 各幫派都在叫力
55200	60600	這個焦之壓 焦之壓 現在是背叛 反背叛
60600	66000	然後是忠誠又忠誠 拉幫又截火 哎呦 熱鬧的不得了了
66000	72000	還有這個華爾街 又不想踢出中國的三大電信公司了
72000	77600	現在是鱷魚上岸了 遭著地的主人
77600	83400	現在在旁邊 咬著手指甲 在那邊看熱鬧了
83400	88800	進入全世界 進入前所未有的亂戰 群戰的準備
88800	94600	這個狀態 美國大選真是到了最滑稽的時刻
94600	96600	很有意思 很有意思
96600	101600	但是只有爆料革命這邊不好 大家都懂的
101600	104200	這個國內今天有人跟我發信息
105200	107800	郭先生 咱不能把事搞得了啊
107800	111200	還有那個路柏慶 讓他就別說了 別說了
111200	114400	我們還有空間 咱們都留著空間的
114400	118400	意思 還給我們留面子 還可以講和
118400	121000	但是路德別講 我都不知道路德講啥
121000	122800	後來我趕快發現 我路德你講啥呀
122800	125600	路德跟我說一說 我說你這真是啊
125600	129000	你惹麻煩 七哥給你背鍋 我真不知道他講啥
129000	130600	我真不知道
130600	134800	當然了 後來我就知道路德是哪方面來的渠道
134800	138000	有戰友出賣七哥 把這個情報給路德
138000	141000	不給我 不像話
141000	146000	但是呢 國內的金融 我就不多說了
146000	150000	經濟 大家我可以告訴大家一個最簡單的數字
150000	152200	統計局的戰友告訴我說
152200	156800	他說七哥可能你根本 我跟你說你都不相信
156800	164600	他說過去的四個月 任何樣往下跌幅都是攔腰斬
164600	170400	銀行的濫賬在過去的四十基礎上又攔腰斬
170400	176000	戰友們 現在大概在國內的銀行濫賬65到70左右
176000	178600	說房地產要倒一切天完
178600	184000	房地產不倒一切就是慢點完
184000	186800	說現在整個中南坑亂得是一鍋粥
