start	end	text
0	14200	今天有好消息啊,好消息是约翰叔叔不在,哈哈哈哈,约翰叔叔不在啊!
16700	25100	兄弟姐妹们,尊敬的战友们好,今天是2021年1月24号文贵早晨乱聊直播,
25600	31400	现在是8点09分啊,8点45分一定要下线,我在这儿全扯啊。
37300	46400	我是从6点钟起床后,赶快的和我们台湾的一个朋友通了个小视频,
47400	53000	通完视频电话以后,我在看那两个手机的时候,我的天呐,
53000	58600	都让战友给我发了信息啊,七哥今天无论如何得直播一下啊,
58600	64100	哪怕露露脸都行,你不说话都行,特别是吉林通话,
64100	70600	还有这个四平,还有长春的战友啊,给我留了一段话让我特别特别感动,
70600	74700	说七哥我们现在已经在家里边没吃没喝啊,
75000	77700	这个像我们这儿还有点儿身份的人啊,
77700	83000	就把所有能救济的,能帮的,家人的,帮朋友的,帮同事的都帮了,
84000	89000	还有些人呢说现在死在医院了,这个家里人也昏过去了啊,
89300	92500	你说昏过去往哪儿抬啊,抬医院就不让你出来了,
93500	98200	抬别的医院就不让你去,然后这家里死人往火葬场拉了,
98200	102200	还要很贵啊,要四万块钱,谁家现在有四万现金啊,
102200	105200	银行取钱,银行也不开门,也不给你取,
106200	109200	另外这个我们的战友是大连的战友,
109700	113700	这个旁边的邻居死了,想去帮忙,结果进屋不让出来了,
114500	117700	那么另外一个战友发信息说上街上买肉,
118700	122200	是前天买的是那个什么肉啊,40块钱一斤,
122700	125200	40块钱一斤,然后呢是这个,
125700	129700	昨天在去的时候直接涨60了,一位不卖给你了,
130200	134200	说现在这里已经没有什么高官和低官了,
134200	137700	也没有什么穷富了,他说有钱也花不出去,
138200	140200	剩下的都是恐惧在这,
140700	143700	他说七哥现在更夸张的事情,孩子当兵了,
144200	146200	孩子从部队打来电话,
146700	150700	说我们突然接到命令,全去东南了,
151200	154700	还不知道说具体东南是哪儿啊,是海南岛啊,是福建啊,
155200	158200	全走了,所以说战友心里很焦虑,
158200	161200	说七哥你站上去你就随便说两句就行,
162200	167200	兄弟姐妹们,七哥实际上很多话都说过,
167700	172200	但是战友们最想等什么,战友们就想等个爽的,
173200	178700	哎一睁眼睛共产党没了,再一睁眼睛王岐山没了,
179200	182700	再一睁眼睛习近平没了,再一睁眼睛北京铁案门,
183200	187700	现在归咱们用了,再一睁眼睛北京没有雾霾了,
189200	193700	再一睁眼睛家里边所有的绿地变成了大海,
194700	201200	所有的马路上的城管没了,这不是乌托邦也不是幻想,
202200	203700	这是彻彻底底的,
204200	208700	这真是中国共产党给你们永远的一个很好的一个实现办法,
209200	213700	叫梦想,只能在梦里想,人间都不可能有,
214700	218200	还有包括这些战友们头两天说,哎呀,
218700	223200	听说这个青烟鸟鸟了,中南坑你不喜欢一个人全都死了,
225700	229200	这种想法特别好,我也想,但是能不能做到,
229700	236200	它不仅仅取决于一个人或两个人,它取决于很多方面,
236700	241200	就像120,咱本来灭共的,咱好像比美国选民还着急,
241200	243700	美国总统一选出来不是川普了,
244200	248700	是拜登了,大家觉得要自杀,觉得天昏地暗了,没有未来了,
250200	252700	然后说你看七哥说了也不准,路德说了也不准,
253200	256700	不是百分之一百吗,不是百分之一千吗,不是百分之一万吗。
257200	260200	战友们,说实在话,像我这么谦虚,
260700	264700	像路德先生这么搂着的,中国世界上我不见第二个。
266700	267700	为什么这么说?
267700	268700	为什么这么说?
270200	277700	Lenwood、朱利安尼、班劳、康特、弗林将军、
