start	end	text
0	2300	早就知道他和熊光凱有关系
3300	5100	不要小看了爆料革命
7100	8700	之所以不说出来
9400	13700	美国正义的力量需要熊光凱
14600	18500	大家还记得当年刘彦平到纽约来跟我说什么吗
18900	21600	文贵你傻什么呀 你说你熊光凱干什么呀
22200	25500	熊光凱那是当时那是二部的部长
26200	30600	到了总参是情报 副总参谋长是管全军的情报
31400	35700	那在美国是非裔人 黑人 白人 黄皮肤人
36100	38500	什么人种都认识朋友比你多
40000	44500	还在那电梯间趴着说熊光凱连个电话都不用说
45900	49100	只要暗示一下你就会在纽约大街上消失
49600	51300	这是刘彦平跟我说的原话吧
52000	55800	在电梯听着耙耳朵说过两次不要再提熊光凱
56500	57600	你惹不起他
58500	62800	即使习对熊都要敬畏极分
63500	65000	因为习都知道
66000	70700	惹了熊了那不是共产党那个范围内能控制的
71000	74100	那是世界的力量 我懂
75000	78900	干情报的跟干黑社会的 干杀手有什么两样的 是吧
79900	83700	这位战友为什么我告诉他 我说我找他 他吓傻了
83900	86500	他为什么知道你早就知道我是熊光凱的
88300	89300	跟他有关系
90100	96100	我说你给我打电话 你给我说话 你给我提我几件事
97200	101600	我就知道你跟他们会有关系 我当然要查你 了解你
102200	105800	我了解了解国内的战友一说 那就是那么回事
105800	109900	就是那么回事 你只是他的代言人之一
110700	112400	代持他资产之一
115400	116000	为什么
117400	121000	所有帮助熊光凱代持的人 第一第一有把柄
121100	124800	第二能控制得住你 第三个他一定有办法监控你
127400	131600	我说你知道你跟我通完话以后 我的电话出现什么情况了
132900	134900	我的电话迅速被黑
136800	139800	后来你再跟我通一次话 我又迅速被黑
139900	145200	你说你是搞工程的 可我问你 基本的工程问题你都不懂
145800	148000	什么电脑工程 IT工程
151400	154200	战友们 不要把七哥当傻子
155200	158200	更重要的战友们 不要把战友们当傻子
159200	163500	反过来看 七哥面对面这战友 这么低调的人
164500	167500	是这么牛的人 当然他不知道
168100	173300	你帮助共产党 共产党一定控制你 他一定要监控你
175300	176900	美国人要用熊光凱
178500	183100	共产党这些年的很多情报都是主要来自中国纳口
183500	189500	中南坑 还有总参二部三部 还有安全部
190400	193100	当然了 统战部这些地方更得多了
194500	197700	那都是花钱买来的关系 你给钱人家还给钱
198500	200700	而且美国人还给你孩子未来呢
201100	205700	还给你孩子在美国的庇护呢 护照呢 资产庇护呢
205700	209700	你共产党能给得了吗 你给不了 所以西方人他没有觉醒
211100	214100	当西方人觉醒的时候 跟你共产党要PK的出
214900	219500	人家手里拿的是牛肉 你共产党你连虎架蒙的
219900	224500	你最多给他蒸个馍馍吃 就不管是共产党的贪官
225200	229500	你整了半天 正在整点鸡肉 鸭肉的吃吃 你能有牛肉吗
231600	237100	你没有牛肉 你想吃牛肉你得到美国来
238900	242900	美国不但给你牛肉 还给你太空 还给你未来
244300	247300	还给你尊严 共产党你能给得了吗
247700	251900	共产党叫你吃个馍得让你跪好几次 还让你家人家跪
252900	256700	爹亲娘亲不如毛主席亲 爹亲娘亲不如党亲
258300	262300	所以说我告诉这位战友 替熊迈命的感受如何
263500	270100	胆战心惊 天天害怕
271500	276300	这就是跟共产党说的是假话 干的是假事
278100	281700	嘴上讲的都是情怀 终于的都是国家
282100	286100	就像海外一帮欺民贼害一些坏人 天天把神挂在嘴上
287700	291500	你给他讲钱 他给你讲情怀
292700	298500	你给他讲现实点负责任 他给你讲奉献 是吧
299300	301700	你给他讲法治 他给你讲上帝
303400	304900	反正就不跟你胡来嘛
305900	309900	但是这位战友还是非常有良知的
312300	315100	他这个时候 还有过去这两三年
315900	317900	帮我们爆料跟我们做了很多事
320700	326500	因为他提供的资料很多是他看到了熊光凯那一部分人
326700	331100	所拥有的独特的特权和情报能力 变相的帮了我们
331500	333300	这位朋友是现在绝对安全的
333300	335900	所以刚才我告诉他 现在我相信他也看过视频
336100	337700	我就告诉他有两条建议
338100	342500	跟所有的美国还有欧洲政府 北约合作
343700	346900	把你所知道的 你所手里拥有的 全给他们
348300	352100	你会换来一生的安全 现在你也安全
