start	end	text
60000	90000	好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好
150000	156420	好,好,好,好,好,好,好,好,好,好,好,好, knock on
156600	162100	好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好,好
163300	165220	好,好,好,好,好,好,好,好,好,好,好,ヌヌヌヌヌヌヌネ,ヌヌチ pounds
165220	170220	啊 这个邀请谁 没人搭理我呀
170220	176220	啊 这邀请没人理我呀 秋蕾姐妹们
195220	222220	喂 哎 我怎么 啊 进来了
223220	226220	可以啊 终于来了一个帅哥
226220	230220	一个好 一个好 我们刚播完
230220	234220	我给你带过来 我给你带过来
234220	236220	还有 还有
236220	240220	大街上你俩也不带个防护 怎么可以嘛
240220	247220	哎 大意了 大意了 今天没有准备好那个消毒液
247220	250220	郑姨小Sara她妈就这么一闺女
250220	253220	你这有点啥情况 咋交代这事 是不是
253220	255220	你们不小心怎么能想到
255220	258220	但是你辛苦了啊 你跟小Sara不像吧
258220	261220	不辛苦 不辛苦 应该的
261220	264220	我是试试这个连线怎么样
264220	268220	现在我发现我这个邀请你大概七八分钟以后
268220	270220	你们才接到
270220	275220	是这样的 我刚我在这个手机APP外面就没有显示
275220	278220	然后我进来之后看见有一个通知
278220	280220	然后通知里面我点进来
280220	282220	然后就有这个打电话的这个界面
282220	284220	然后我再点进来就进来了
284220	287220	所以说你要知道咱现在的问题是什么呢
287220	291220	这个就是说你人家本来人家就是说
291220	294220	这个就有这个APP就能通知
294220	297220	你不能说我点击再进去 这是不可以的
297220	302220	对对对 是的 现在是这个问题
302220	305220	七哥 你那边声音好像有点小
305220	306220	啊
306220	309220	七哥 好像你那边声音有点小
309220	311220	不是郭叔小吧
311220	313220	是不是声音有点小
313220	316220	我听着你声音大多了呀
316220	320220	哦 就是我好像 咱们听郭叔好像声音有点小
320220	322220	因为我们在一个开放的环境
322220	323220	哦 好的 好的
323220	324220	对啊
324220	328220	可能是我们在这个环境里面可能不太那个
328220	331220	哦 声音不小 好吧 好吧 那是我的问题 好的
331220	334220	郭叔我发现一个问题
334220	335220	啊
335220	337220	郭叔好 就是啊
337220	342220	我们所有的战友跟您用GTV直接连线的视频
342220	346220	在上传过后全部都我们的画面都是白的
346220	348220	哦 那那个是
348220	351220	只有GTV 对我们的画面全都没有
351220	355220	大使馆那一次的直播我们全都是白的
