start	end	text
0	7680	兄弟姐妹们 哎呀我的妈呀 今天是十点半了
7680	11360	今天是十三号了 兄弟姐妹们
13360	15360	十三号了啊
19360	23040	我现在在那边刚才听着歌
23040	27840	在看着真人真气儿采访锐秋
27840	31840	锐秋 秋天的秋 锐秋
31840	36800	长岛歌 Q妹 你看着我兄弟姐妹们
36800	42400	她们变得越来越健康 越来越漂亮 越来越成熟
42400	45760	这才是新中国联邦的魅力 对吧
45760	47760	这才是我想要的结果
47760	51040	不能跟那帮鬼类似的 一看超出八八的
51040	56240	是不是 好像是刚回过两次炉子的感觉
56320	58320	一点都不伸展 是吧
58320	60320	多不舒服啊
60320	65200	哎呀 这洗地长的 这布隆伯格啊
65200	69200	这出来的女记者 女实习记者
69200	72240	谁要报道咱都是女实习记者 来自中国的
72240	74240	啊 洗地
74240	77200	现在流通固值270亿美元
77200	79200	她就不洗 是吧
79200	81200	她有一千个亿地的额度
81200	83200	她就不洗
83680	87040	她记住上上市 是所有的气货链记住
87040	89760	是最好的 包括她的系统
89760	91760	她就不洗啊
91760	94960	这个 说郭文贵是比利奈
94960	96560	这跟班农什么蛋的关系啊
96560	99120	跟他啥关系你都洗地 啥关系没有
99120	100640	但是她就不洗啊
100640	104640	我们爆料革命说出了海航 王健 陈锋
104640	108000	她也不说冠军 刘胜杰 孙瑶 是吧
108000	110240	她也不说王健之死
110240	112240	她也不说马云这事
112240	116080	她也不说王岐山 孟建柱 孙立军都被抓了 傅振华
116080	118080	她也不说 是吧
118080	120080	当时郭文贵发这个
120080	122080	所谓的蓝通红通的
122080	124080	是吧 孟宏伟也抓了
124080	126880	孙立军也被抓了 孟建柱 王岐山 阮晋
126880	128080	她不说
128080	131280	她不说这些后边就是吴征什么关系
131280	134240	你看看吧 这个女孩十六八九是江泽仁
134240	136240	是吴征控制的啊
136240	138240	不是江泽的控制啊
138240	140240	吴征就是老在那儿就近
140240	142240	我相信江泽仁大于任何人啊
144240	146240	所以说
146240	148240	又羡慕又妒忌
148240	150240	又想黑咱就没办法黑到哪儿去
150240	152240	咱们好话都不说
152240	154240	但这也是广告
154240	156240	是吧
156240	158240	走着看
158240	160240	走着看
162240	164240	兄弟姐妹们
164240	166240	我们才上市十几天
166240	168240	十三天是吧
