start	end	text
1000	5000	刚刚我说看完这个过来看手机的时候
5000	8000	第一个是郝海东兄弟 还有叶钊永妹妹
8000	12000	买奖 中大奖啊 买了八个中了仨
12000	14000	我的天这啥命啊这是
14000	17000	而且还投了几十块钱 一百多块钱
17000	19000	中了六千 六千
19000	21000	而且对奖去了啊 对奖成功
21000	23000	第一天去上红色艺术去了
23000	26000	对奖不成功 换成蓝色成功了
26000	29000	哎呀 我这东西永妹妹太幸福了
30000	33000	哎呀 人这对夫妻啊 这个精神境界
33000	36000	人生都达到了一定的高度
36000	39000	所以说 好人一生平安
39000	42000	兄弟姐妹们 我就不在那每个群里单独发了
42000	45000	你们可以把这视频分享给所有的兄弟姐妹们
45000	50000	文贵再次祝所有的爆料革命的战友们家人平安
50000	53000	爆料革命的所有战友 兄弟姐妹们平安
53000	58000	这是人类有史以来最不确定是否平安的平安夜
58000	62000	咱们的大统领还有身边的很多人给我发信息
62000	65000	说感觉阴云密布
65000	69000	因为所有从来没有过就感觉到这个大家都不平安
69000	72000	第一个感受就是病毒
72000	74000	然后就是共产主义
74000	77000	还有一个就是这总统大选还没确定下来
77000	80000	再一个就是明年的经济没有人看好
80000	82000	没有人看好
82000	85000	现在可能真的只有我们新中国联邦了
85000	87000	因为咱没有压力 没有成本
87000	89000	咱怎么做都是赢
89000	92000	GTV、G-News走在最前线
92000	96000	G-Con、G-Dog、G-Club、G-Fans都是最前线
98000	101000	咱们爆料革命也算是中大奖了吧
101000	103000	兄弟姐妹们 谢谢
